State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
CT,New Haven County,9,9,6/17/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/18/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/19/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/20/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/21/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/22/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/23/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/24/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/25/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/26/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/27/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/28/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/29/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,6/30/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/1/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/2/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/3/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/4/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/5/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/6/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/7/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/8/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/9/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/10/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/11/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/12/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/13/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/14/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/15/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/16/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/17/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/18/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/19/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/20/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/21/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/22/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/23/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/24/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/25/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/26/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/27/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/28/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/29/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/30/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,7/31/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,8/1/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,8/2/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,8/3/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
CT,New Haven County,9,9,8/4/2020,1,Yes,Official,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf,"Conn. Exec. Order No. 7BB (Apr. 17, 2020)"
